survey_date,country,mktcode,target_year,horizon_years,inflation_expectation_pct,dsmnemonic,ecoseriesid,desc_english,source_check,unitcodedesc,freqcode,changeseq
2013-02-07,Albania,H1,2014,1,3.20000004768372,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,0.0
2013-03-19,Albania,H1,2014,1,3.29999995231628,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,1.0
2013-06-06,Albania,H1,2014,1,3.20000004768372,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,2.0
2013-07-04,Albania,H1,2014,1,2.70000004768372,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,3.0
2013-12-18,Albania,H1,2014,1,2.40000009536743,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,4.0
2014-02-06,Albania,H1,2015,1,3.0,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,0.0
2014-03-06,Albania,H1,2015,1,2.5,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,1.0
2014-05-09,Albania,H1,2015,1,2.40000128746033,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,2.0
2014-06-05,Albania,H1,2015,1,3.0,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,3.0
2014-07-02,Albania,H1,2015,1,2.60000252723694,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,4.0
2014-10-01,Albania,H1,2015,1,2.30000114440918,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,5.0
2014-12-04,Albania,H1,2015,1,2.0,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,6.0
2014-12-31,Albania,H1,2015,1,1.90000116825104,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,7.0
2015-02-05,Albania,H1,2016,1,2.40000128746033,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,0.0
2015-03-04,Albania,H1,2016,1,2.60000252723694,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,1.0
2015-05-06,Albania,H1,2016,1,2.5,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,2.0
2015-07-01,Albania,H1,2016,1,2.40000128746033,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,3.0
2015-09-02,Albania,H1,2016,1,2.5,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,4.0
2015-10-01,Albania,H1,2016,1,2.40000128746033,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,5.0
2015-11-04,Albania,H1,2016,1,2.59999990463257,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,6.0
2015-12-03,Albania,H1,2016,1,2.5,ALCECPRM,143242.0,"CONSUMER PRICES (%YOY, MEAN)",ZZ: CONSENSUS ECONOMICS INC.,Percentage,ANNL,7.0
